Orthologous Cluster ID,Species,ENSEMBL ID,Gene,Expression,log2 Fold Change,FDR
HS385,Homo sapiens,ENSG00000132475,H3F3B,up_regulated,1.00624,5.58E-14
HS1871,Homo sapiens,ENSG00000105856,HBP1,up_regulated,0.377288,0.0417431
HS10874,Homo sapiens,ENSG00000105404,RABAC1,up_regulated,0.550898,1.98E-04
HS3884,Homo sapiens,ENSG00000077254,USP33,up_regulated,0.846515,6.72E-08
HS11266,Homo sapiens,ENSG00000230154,AC018463.4,up_regulated,1.03175,0.00296379
HS2381,Homo sapiens,ENSG00000129355,CDKN2D,up_regulated,1.49727,5.25E-14
HS12054,Homo sapiens,ENSG00000100084,HIRA,up_regulated,1.21515,2.99E-09
HS13800,Homo sapiens,ENSG00000169258,GPRIN1,up_regulated,0.609064,0.00262384
HS5993,Homo sapiens,ENSG00000248323,LUCAT1,up_regulated,1.23425,2.68E-07
HS6285,Homo sapiens,ENSG00000089127,OAS1,up_regulated,7.92537,0
HS9857,Homo sapiens,ENSG00000164342,TLR3,up_regulated,5.62741,0
HS7816,Homo sapiens,ENSG00000164096,C4orf3,up_regulated,0.515875,0.00204593
HS2999,Homo sapiens,ENSG00000141543,EIF4A3,up_regulated,0.492573,7.79E-04
HS3096,Homo sapiens,ENSG00000125430,HS3ST3B1,up_regulated,0.769908,5.07E-07
HS7389,Homo sapiens,ENSG00000069011,PITX1,up_regulated,1.04855,7.02E-04
HS7760,Homo sapiens,ENSG00000163935,SFMBT1,up_regulated,1.20537,1.59E-09
HS11669,Homo sapiens,ENSG00000128563,PRKRIP1,up_regulated,0.448907,0.0171172
HS13475,Homo sapiens,ENSG00000177917,ARL6IP6,up_regulated,0.752337,1.09E-04
HS1123,Homo sapiens,ENSG00000111266,DUSP16,up_regulated,1.19964,6.36E-10
HS6978,Homo sapiens,ENSG00000196358,NTNG2,up_regulated,1.17828,1.18E-09
HS9729,Homo sapiens,ENSG00000261737,RP4-612B15.3,up_regulated,0.92863,0.00816929
HS6980,Homo sapiens,ENSG00000136826,KLF4,up_regulated,0.950964,8.26E-08
HS10914,Homo sapiens,ENSG00000125354,6-Sep,up_regulated,0.621236,1.07E-04
HS1702,Homo sapiens,ENSG00000155099,TMEM55A,up_regulated,0.569072,0.00269743
HS6193,Homo sapiens,ENSG00000269439,CTD-3131K8.2,up_regulated,0.982516,2.81E-04
HS4560,Homo sapiens,ENSG00000197555,SIPA1L1,up_regulated,0.475693,0.00285555
HS9814,Homo sapiens,ENSG00000131446,MGAT1,up_regulated,0.614135,1.16E-05
HS5270,Homo sapiens,ENSG00000170915,PAQR8,up_regulated,0.911878,2.98E-06
HS11405,Homo sapiens,ENSG00000270978,RP11-54C4.2,up_regulated,0.717638,0.0161242
HS14633,Homo sapiens,ENSG00000063180,CA11,up_regulated,1.44578,9.82E-08
HS8601,Homo sapiens,ENSG00000171992,SYNPO,up_regulated,0.536926,0.00247133
HS3444,Homo sapiens,ENSG00000112308,C6orf62,up_regulated,1.18391,1.39E-13
HS12923,Homo sapiens,ENSG00000105287,PRKD2,up_regulated,2.42487,0
HS3029,Homo sapiens,ENSG00000144647,POMGNT2,up_regulated,0.426039,0.037322
HS7711,Homo sapiens,ENSG00000060491,OGFR,up_regulated,2.67467,5.04E-33
HS11678,Homo sapiens,ENSG00000116127,ALMS1,up_regulated,0.42168,0.0289294
HS8194,Homo sapiens,ENSG00000018408,WWTR1,up_regulated,0.542938,2.95E-04
HS13453,Homo sapiens,ENSG00000109680,TBC1D19,up_regulated,0.888784,2.47E-06
HS13057,Homo sapiens,ENSG00000117461,PIK3R3,up_regulated,2.76135,0
HS4139,Homo sapiens,ENSG00000100226,GTPBP1,up_regulated,2.34518,0
HS10334,Homo sapiens,ENSG00000010030,ETV7,up_regulated,9.02261,0
HS931,Homo sapiens,ENSG00000129003,VPS13C,up_regulated,0.397681,0.0196635
HS5973,Homo sapiens,ENSG00000160710,ADAR,up_regulated,1.98929,0
HS74,Homo sapiens,ENSG00000137628,DDX60,up_regulated,3.85044,0
HS12318,Homo sapiens,ENSG00000054282,SDCCAG8,up_regulated,0.825266,1.90E-06
HS10155,Homo sapiens,ENSG00000138798,EGF,up_regulated,2.73387,1.81E-12
HS4743,Homo sapiens,ENSG00000070731,ST6GALNAC2,up_regulated,0.938418,0.0111187
HS13774,Homo sapiens,ENSG00000106484,MEST,up_regulated,0.58432,0.00354713
HS1514,Homo sapiens,ENSG00000136052,SLC41A2,up_regulated,0.473663,0.0393319
HS787,Homo sapiens,ENSG00000266876,RP11-1148O4.1,up_regulated,0.871126,0.00411802
HS3202,Homo sapiens,ENSG00000199024,MIR103A2,up_regulated,0.90817,0.00124576
HS13865,Homo sapiens,ENSG00000156232,WHAMM,up_regulated,1.07539,1.74E-08
HS13685,Homo sapiens,ENSG00000184584,TMEM173,up_regulated,1.56202,4.22E-27
HS11415,Homo sapiens,ENSG00000169136,ATF5,up_regulated,1.35461,2.53E-22
HS10284,Homo sapiens,ENSG00000082175,PGR,up_regulated,2.21716,2.70E-15
HS14576,Homo sapiens,ENSG00000110931,CAMKK2,up_regulated,0.942078,4.97E-11
HS3487,Homo sapiens,ENSG00000231187,RP11-38L15.3,up_regulated,3.19981,2.48E-19
HS3187,Homo sapiens,ENSG00000198060,5-Mar,up_regulated,0.583663,0.00116384
HS13971,Homo sapiens,ENSG00000118495,PLAGL1,up_regulated,1.65159,4.05E-32
HS3381,Homo sapiens,ENSG00000107551,RASSF4,up_regulated,0.643155,0.00471036
HS11367,Homo sapiens,ENSG00000245025,RP11-875O11.1,up_regulated,1.27519,6.33E-08
HS12614,Homo sapiens,ENSG00000080189,SLC35C2,up_regulated,0.405665,0.0152252
HS655,Homo sapiens,ENSG00000228695,CES1P1,up_regulated,0.777976,0.00460299
HS12410,Homo sapiens,ENSG00000087157,PGS1,up_regulated,0.396038,0.0204141
HS13190,Homo sapiens,ENSG00000230266,XXYLT1-AS2,up_regulated,0.923743,5.69E-04
HS12508,Homo sapiens,ENSG00000273174,RP11-434H6.6,up_regulated,2.64429,2.19E-18
HS14091,Homo sapiens,ENSG00000141646,SMAD4,up_regulated,0.526299,0.00129338
HS13197,Homo sapiens,ENSG00000181788,SIAH2,up_regulated,0.901268,2.76E-08
HS3115,Homo sapiens,ENSG00000122257,RBBP6,up_regulated,1.05887,1.12E-13
HS5159,Homo sapiens,ENSG00000168310,IRF2,up_regulated,2.89847,0
HS4714,Homo sapiens,ENSG00000102575,ACP5,up_regulated,0.476894,0.0116788
HS5874,Homo sapiens,ENSG00000187634,SAMD11,up_regulated,0.463107,0.00276174
HS11225,Homo sapiens,ENSG00000128272,ATF4,up_regulated,0.355165,0.0173334
HS11290,Homo sapiens,ENSG00000139567,ACVRL1,up_regulated,0.745508,5.02E-08
HS14585,Homo sapiens,ENSG00000115602,IL1RL1,up_regulated,1.27138,0.00502521
HS13159,Homo sapiens,ENSG00000137200,CMTR1,up_regulated,1.25519,7.43E-19
HS11903,Homo sapiens,ENSG00000137752,CASP1,up_regulated,2.80292,0
HS5523,Homo sapiens,ENSG00000223960,AC009948.5,up_regulated,2.1199,1.32E-19
HS595,Homo sapiens,ENSG00000231313,CLIC1P1,up_regulated,0.541238,0.00489313
HS11278,Homo sapiens,ENSG00000064763,FAR2,up_regulated,1.07169,3.66E-10
HS13285,Homo sapiens,ENSG00000117020,AKT3,up_regulated,0.452005,0.00484972
HS8305,Homo sapiens,ENSG00000230918,AC008063.2,up_regulated,0.792815,0.00115046
HS2415,Homo sapiens,ENSG00000163545,NUAK2,up_regulated,1.36595,2.45E-06
HS9027,Homo sapiens,ENSG00000128342,LIF,up_regulated,0.798713,0.00179792
HS10462,Homo sapiens,ENSG00000168679,SLC16A4,up_regulated,1.6925,1.18E-12
HS11975,Homo sapiens,ENSG00000151748,SAV1,up_regulated,0.740161,2.82E-04
HS9516,Homo sapiens,ENSG00000210151,MT-TS1,up_regulated,1.07249,1.84E-04
HS9718,Homo sapiens,ENSG00000104635,SLC39A14,up_regulated,0.472913,0.00327209
HS9791,Homo sapiens,ENSG00000176928,GCNT4,up_regulated,2.19699,5.11E-15
HS5435,Homo sapiens,ENSG00000169871,TRIM56,up_regulated,2.17024,0
HS10436,Homo sapiens,ENSG00000240065,PSMB9,up_regulated,3.52145,0
HS876,Homo sapiens,ENSG00000117519,CNN3,up_regulated,0.350004,0.0220019
HS4265,Homo sapiens,ENSG00000221914,PPP2R2A,up_regulated,1.42317,7.67E-22
HS2537,Homo sapiens,ENSG00000204138,PHACTR4,up_regulated,2.3685,0
HS13732,Homo sapiens,ENSG00000120075,HOXB5,up_regulated,0.637438,6.04E-04
HS6141,Homo sapiens,ENSG00000231389,HLA-DPA1,up_regulated,0.402187,0.045865
HS12018,Homo sapiens,ENSG00000120217,CD274,up_regulated,5.86303,0
HS7647,Homo sapiens,ENSG00000142920,AZIN2,up_regulated,1.01846,1.25E-07
HS8738,Homo sapiens,ENSG00000104412,EMC2,up_regulated,0.482039,0.015623
HS1719,Homo sapiens,ENSG00000116711,PLA2G4A,up_regulated,1.14891,4.53E-12
HS1382,Homo sapiens,ENSG00000166250,CLMP,up_regulated,0.943543,1.21E-12
HS5683,Homo sapiens,ENSG00000168016,TRANK1,up_regulated,3.10024,0
HS5026,Homo sapiens,ENSG00000136169,SETDB2,up_regulated,1.7877,4.27E-23
HS6713,Homo sapiens,ENSG00000160767,FAM189B,up_regulated,1.27074,1.17E-16
HS4150,Homo sapiens,ENSG00000090339,ICAM1,up_regulated,2.90142,0
HS10156,Homo sapiens,ENSG00000169660,HEXDC,up_regulated,0.996224,6.21E-05
HS4123,Homo sapiens,ENSG00000109436,TBC1D9,up_regulated,1.17606,2.77E-17
HS13706,Homo sapiens,ENSG00000246582,RP11-1149O23.3,up_regulated,1.39013,8.00E-06
HS6527,Homo sapiens,ENSG00000102786,INTS6,up_regulated,0.643828,1.12E-04
HS10330,Homo sapiens,ENSG00000112343,TRIM38,up_regulated,2.91905,0
HS6706,Homo sapiens,ENSG00000120910,PPP3CC,up_regulated,1.3524,2.63E-18
HS5003,Homo sapiens,ENSG00000146373,RNF217,up_regulated,0.896152,1.39E-07
HS7812,Homo sapiens,ENSG00000213492,NT5C3AP1,up_regulated,2.68243,8.22E-28
HS9890,Homo sapiens,ENSG00000116675,DNAJC6,up_regulated,0.603206,0.0249198
HS3169,Homo sapiens,ENSG00000173218,VANGL1,up_regulated,0.989825,5.93E-12
HS7594,Homo sapiens,ENSG00000125148,MT2A,up_regulated,1.33733,1.72E-24
HS8122,Homo sapiens,ENSG00000121236,TRIM6,up_regulated,0.682846,0.029016
HS9807,Homo sapiens,ENSG00000143891,GALM,up_regulated,0.721691,1.02E-04
HS1944,Homo sapiens,ENSG00000251705,RNA5-8SP6,up_regulated,0.392979,0.014419
HS3422,Homo sapiens,ENSG00000150457,LATS2,up_regulated,0.633118,6.65E-05
HS13666,Homo sapiens,ENSG00000114978,MOB1A,up_regulated,0.506901,7.04E-04
HS796,Homo sapiens,ENSG00000215414,PSMA6P1,up_regulated,0.592816,0.00497668
HS2864,Homo sapiens,ENSG00000136114,THSD1,up_regulated,2.6441,0
HS13632,Homo sapiens,ENSG00000163568,AIM2,up_regulated,6.4007,0
HS6313,Homo sapiens,ENSG00000112739,PRPF4B,up_regulated,0.321262,0.045865
HS9889,Homo sapiens,ENSG00000162714,ZNF496,up_regulated,0.851213,7.81E-06
HS12560,Homo sapiens,ENSG00000164305,CASP3,up_regulated,0.824095,2.66E-06
HS7843,Homo sapiens,ENSG00000021355,SERPINB1,up_regulated,1.84791,1.06E-12
HS13129,Homo sapiens,ENSG00000112685,EXOC2,up_regulated,0.619558,1.34E-04
HS5822,Homo sapiens,ENSG00000111859,NEDD9,up_regulated,1.38523,0.00713013
HS4071,Homo sapiens,ENSG00000163320,CGGBP1,up_regulated,0.396684,0.0292249
HS6790,Homo sapiens,ENSG00000204406,MBD5,up_regulated,0.997598,4.65E-09
HS12026,Homo sapiens,ENSG00000185985,SLITRK2,up_regulated,4.19859,1.51E-34
HS857,Homo sapiens,ENSG00000101000,PROCR,up_regulated,0.626334,1.95E-05
HS6563,Homo sapiens,ENSG00000169715,MT1E,up_regulated,0.821203,2.23E-07
HS12863,Homo sapiens,ENSG00000006451,RALA,up_regulated,0.438923,0.007384
HS3601,Homo sapiens,ENSG00000138378,STAT4,up_regulated,1.03577,1.23E-04
HS306,Homo sapiens,ENSG00000184384,MAML2,up_regulated,0.878183,1.05E-07
HS13181,Homo sapiens,ENSG00000104611,SH2D4A,up_regulated,0.355325,0.0425135
HS14143,Homo sapiens,ENSG00000101574,METTL4,up_regulated,1.31994,1.44E-13
HS9312,Homo sapiens,ENSG00000236739,CLIC4P1,up_regulated,0.780886,4.73E-04
HS5628,Homo sapiens,ENSG00000099968,BCL2L13,up_regulated,1.59865,3.03E-22
HS4810,Homo sapiens,ENSG00000179583,CIITA,up_regulated,5.25977,0
HS7227,Homo sapiens,ENSG00000197536,C5orf56,up_regulated,3.91299,0
HS12266,Homo sapiens,ENSG00000148400,NOTCH1,up_regulated,1.21377,3.85E-15
HS4512,Homo sapiens,ENSG00000254470,AP5B1,up_regulated,1.52267,5.83E-17
HS12043,Homo sapiens,ENSG00000056972,TRAF3IP2,up_regulated,0.719756,3.26E-07
HS12275,Homo sapiens,ENSG00000143924,EML4,up_regulated,0.68188,1.98E-04
HS6262,Homo sapiens,ENSG00000197927,C2orf27A,up_regulated,1.31829,9.05E-07
HS10636,Homo sapiens,ENSG00000245532,NEAT1,up_regulated,0.4235,0.0181813
HS2692,Homo sapiens,ENSG00000082996,RNF13,up_regulated,0.527499,0.00236606
HS10510,Homo sapiens,ENSG00000113369,ARRDC3,up_regulated,0.966355,2.18E-04
HS1446,Homo sapiens,ENSG00000109220,CHIC2,up_regulated,0.574761,0.00506997
HS5288,Homo sapiens,ENSG00000258563,PSMA3P,up_regulated,0.753723,0.0188073
HS6034,Homo sapiens,ENSG00000165389,SPTSSA,up_regulated,0.407631,0.0281476
HS11077,Homo sapiens,ENSG00000107077,KDM4C,up_regulated,0.498135,0.00816336
HS7083,Homo sapiens,ENSG00000116747,TROVE2,up_regulated,0.410336,0.0377263
HS12346,Homo sapiens,ENSG00000229241,PNPT1P1,up_regulated,3.78933,0
HS8211,Homo sapiens,ENSG00000133328,HRASLS2,up_regulated,6.87861,1.26E-43
HS11239,Homo sapiens,ENSG00000134830,C5AR2,up_regulated,3.12454,3.61E-22
HS2666,Homo sapiens,ENSG00000270426,RP11-326I11.5,up_regulated,4.97273,3.56E-42
HS10204,Homo sapiens,ENSG00000188706,ZDHHC9,up_regulated,0.563659,8.69E-05
HS13914,Homo sapiens,ENSG00000175573,C11orf68,up_regulated,0.475685,0.00229882
HS3582,Homo sapiens,ENSG00000203446,AC004988.1,up_regulated,3.49427,1.24E-31
HS5333,Homo sapiens,ENSG00000169085,C8orf46,up_regulated,1.17265,0.00141662
HS8551,Homo sapiens,ENSG00000171621,SPSB1,up_regulated,2.03901,1.68E-40
HS8705,Homo sapiens,ENSG00000136874,STX17,up_regulated,1.41337,1.26E-14
HS11691,Homo sapiens,ENSG00000037965,HOXC8,up_regulated,0.347038,0.0333901
HS14465,Homo sapiens,ENSG00000184292,TACSTD2,up_regulated,2.21937,9.36E-17
HS4255,Homo sapiens,ENSG00000121486,TRMT1L,up_regulated,0.715601,0.00111516
HS10073,Homo sapiens,ENSG00000186765,FSCN2,up_regulated,0.758885,0.0445469
HS11915,Homo sapiens,ENSG00000163788,SNRK,up_regulated,0.419093,0.0312546
HS7453,Homo sapiens,ENSG00000129566,TEP1,up_regulated,0.589538,1.38E-04
HS2127,Homo sapiens,ENSG00000091129,NRCAM,up_regulated,0.918914,1.82E-05
HS13487,Homo sapiens,ENSG00000126947,ARMCX1,up_regulated,1.20827,1.36E-13
HS8321,Homo sapiens,ENSG00000267680,ZNF224,up_regulated,1.03341,1.55E-10
HS10362,Homo sapiens,ENSG00000172348,RCAN2,up_regulated,0.521169,0.00196978
HS13540,Homo sapiens,ENSG00000270788,PDLIM1P1,up_regulated,0.665745,0.00579136
HS7740,Homo sapiens,ENSG00000139998,RAB15,up_regulated,0.583624,0.00549681
HS1059,Homo sapiens,ENSG00000005810,MYCBP2,up_regulated,1.02023,6.83E-15
HS14298,Homo sapiens,ENSG00000196371,FUT4,up_regulated,1.6406,1.14E-19
HS13519,Homo sapiens,ENSG00000248927,CTD-2334D19.1,up_regulated,0.989389,0.0016224
HS7529,Homo sapiens,ENSG00000231290,APCDD1L-AS1,up_regulated,0.736342,9.29E-04
HS5656,Homo sapiens,ENSG00000102316,MAGED2,up_regulated,0.357078,0.0168436
HS13672,Homo sapiens,ENSG00000205208,C4orf46,up_regulated,0.726666,0.0113237
HS12547,Homo sapiens,ENSG00000140464,PML,up_regulated,2.81492,0
HS5539,Homo sapiens,ENSG00000204389,HSPA1A,up_regulated,0.579726,0.00131405
HS10193,Homo sapiens,ENSG00000164430,MB21D1,up_regulated,1.54577,3.01E-11
HS8534,Homo sapiens,ENSG00000189058,APOD,up_regulated,0.604089,6.99E-04
HS8468,Homo sapiens,ENSG00000188026,RILPL1,up_regulated,0.786059,1.97E-05
HS12703,Homo sapiens,ENSG00000041357,PSMA4,up_regulated,1.01408,1.37E-12
HS7073,Homo sapiens,ENSG00000259721,RP11-758N13.1,up_regulated,0.61213,0.0205194
HS13992,Homo sapiens,ENSG00000197093,GAL3ST4,up_regulated,0.987204,3.76E-06
HS12588,Homo sapiens,ENSG00000130489,SCO2,up_regulated,0.901678,3.58E-06
HS12535,Homo sapiens,ENSG00000198108,CHSY3,up_regulated,1.4656,6.04E-11
HS8761,Homo sapiens,ENSG00000239713,APOBEC3G,up_regulated,4.38236,0
HS8761,Homo sapiens,ENSG00000179750,APOBEC3B,up_regulated,0.653622,0.0155311
HS13687,Homo sapiens,ENSG00000175895,PLEKHF2,up_regulated,1.04109,1.61E-05
HS13311,Homo sapiens,ENSG00000146374,RSPO3,up_regulated,1.04087,2.05E-10
HS12558,Homo sapiens,ENSG00000237807,RP11-400K9.4,up_regulated,1.56295,2.18E-09
HS10229,Homo sapiens,ENSG00000230097,ME2P1,up_regulated,0.780562,0.00967693
HS13779,Homo sapiens,ENSG00000163531,NFASC,up_regulated,0.419242,0.00524567
HS4962,Homo sapiens,ENSG00000172780,RAB43,up_regulated,2.04915,2.61E-15
HS3417,Homo sapiens,ENSG00000188375,H3F3C,up_regulated,1.1128,1.02E-07
HS1851,Homo sapiens,ENSG00000130255,RPL36,up_regulated,0.355087,0.0379489
HS1321,Homo sapiens,ENSG00000106617,PRKAG2,up_regulated,0.496748,0.0134582
HS425,Homo sapiens,ENSG00000014914,MTMR11,up_regulated,0.874599,6.53E-09
HS9057,Homo sapiens,ENSG00000169228,RAB24,up_regulated,1.15732,3.71E-07
HS12919,Homo sapiens,ENSG00000004799,PDK4,up_regulated,0.783645,3.21E-05
HS13987,Homo sapiens,ENSG00000157111,TMEM171,up_regulated,3.7883,0
HS4221,Homo sapiens,ENSG00000138246,DNAJC13,up_regulated,0.399062,0.0121619
HS4616,Homo sapiens,ENSG00000163412,EIF4E3,up_regulated,0.909837,5.01E-05
HS1177,Homo sapiens,ENSG00000108691,CCL2,up_regulated,2.95176,0
HS6286,Homo sapiens,ENSG00000163872,YEATS2,up_regulated,1.61029,3.84E-35
HS13744,Homo sapiens,ENSG00000164674,SYTL3,up_regulated,1.76943,8.41E-23
HS10542,Homo sapiens,ENSG00000079819,EPB41L2,up_regulated,0.499751,0.00291372
HS11230,Homo sapiens,ENSG00000134294,SLC38A2,up_regulated,0.635093,0.00205301
HS459,Homo sapiens,ENSG00000137449,CPEB2,up_regulated,1.1843,1.20E-13
HS96,Homo sapiens,ENSG00000151136,BTBD11,up_regulated,0.602695,0.0265002
HS10612,Homo sapiens,ENSG00000064886,CHI3L2,up_regulated,0.693028,0.00881629
HS10451,Homo sapiens,ENSG00000184014,DENND5A,up_regulated,1.36199,5.68E-25
HS11318,Homo sapiens,ENSG00000238000,RP11-274E7.2,up_regulated,1.52821,2.46E-13
HS2834,Homo sapiens,ENSG00000151849,CENPJ,up_regulated,0.466507,0.0410286
HS923,Homo sapiens,ENSG00000267920,SNX6P1,up_regulated,0.739444,6.44E-04
HS3241,Homo sapiens,ENSG00000099860,GADD45B,up_regulated,1.03969,2.38E-11
HS2789,Homo sapiens,ENSG00000214380,RP11-457K10.2,up_regulated,0.683053,0.0352063
HS9522,Homo sapiens,ENSG00000224789,AC012363.4,up_regulated,7.82194,0
HS1805,Homo sapiens,ENSG00000223427,AC016716.1,up_regulated,0.644199,0.0357395
HS2284,Homo sapiens,ENSG00000172977,KAT5,up_regulated,0.494367,0.00351557
HS7351,Homo sapiens,ENSG00000115271,GCA,up_regulated,2.72229,1.68E-17
HS12651,Homo sapiens,ENSG00000146776,ATXN7L1,up_regulated,1.6842,1.91E-15
HS3692,Homo sapiens,ENSG00000178860,MSC,up_regulated,0.982595,5.29E-10
HS13462,Homo sapiens,ENSG00000092010,PSME1,up_regulated,0.735793,4.95E-08
HS1355,Homo sapiens,ENSG00000109390,NDUFC1,up_regulated,0.59376,0.00198598
HS3042,Homo sapiens,ENSG00000243701,DUBR,up_regulated,0.992153,4.99E-05
HS6854,Homo sapiens,ENSG00000237380,HOXD-AS2,up_regulated,0.901311,0.00233045
HS907,Homo sapiens,ENSG00000136630,HLX,up_regulated,0.794577,2.36E-05
HS3092,Homo sapiens,ENSG00000186470,BTN3A2,up_regulated,0.836785,5.48E-07
HS3092,Homo sapiens,ENSG00000111801,BTN3A3,up_regulated,2.26003,0
HS3092,Homo sapiens,ENSG00000026950,BTN3A1,up_regulated,2.01078,1.29E-27
HS12813,Homo sapiens,ENSG00000226049,TLK2P1,up_regulated,1.43037,1.24E-09
HS5633,Homo sapiens,ENSG00000139117,CPNE8,up_regulated,1.73416,3.48E-21
HS10910,Homo sapiens,ENSG00000102572,STK24,up_regulated,0.829047,1.40E-09
HS13188,Homo sapiens,ENSG00000213928,IRF9,up_regulated,1.51481,1.14E-12
HS64,Homo sapiens,ENSG00000034510,TMSB10,up_regulated,0.448285,0.00316774
HS7062,Homo sapiens,ENSG00000179021,C3orf38,up_regulated,1.5138,2.70E-12
HS5160,Homo sapiens,ENSG00000166750,SLFN5,up_regulated,1.54658,5.58E-26
HS9826,Homo sapiens,ENSG00000135052,GOLM1,up_regulated,1.42242,1.75E-24
HS5629,Homo sapiens,ENSG00000135842,FAM129A,up_regulated,0.410059,0.0137997
HS2187,Homo sapiens,ENSG00000135587,SMPD2,up_regulated,0.603479,0.00201484
HS5857,Homo sapiens,ENSG00000185022,MAFF,up_regulated,0.522176,0.00631639
HS14112,Homo sapiens,ENSG00000182957,SPATA13,up_regulated,1.01133,5.07E-13
HS218,Homo sapiens,ENSG00000115159,GPD2,up_regulated,1.34355,3.57E-20
HS11129,Homo sapiens,ENSG00000042062,FAM65C,up_regulated,0.782069,5.56E-06
HS5455,Homo sapiens,ENSG00000110852,CLEC2B,up_regulated,1.19656,1.48E-13
HS410,Homo sapiens,ENSG00000065613,SLK,up_regulated,0.464874,0.00291122
HS12712,Homo sapiens,ENSG00000154803,FLCN,up_regulated,0.394518,0.0217218
HS6,Homo sapiens,ENSG00000182575,NXPH3,up_regulated,1.47815,2.73E-10
HS10803,Homo sapiens,ENSG00000163029,SMC6,up_regulated,0.650144,2.07E-04
HS11854,Homo sapiens,ENSG00000168994,PXDC1,up_regulated,1.04003,1.75E-15
HS5493,Homo sapiens,ENSG00000198355,PIM3,up_regulated,1.42047,9.44E-10
HS2194,Homo sapiens,ENSG00000170222,ADPRM,up_regulated,0.907427,1.55E-05
HS13165,Homo sapiens,ENSG00000161692,DBF4B,up_regulated,1.18844,4.78E-08
HS3994,Homo sapiens,ENSG00000215068,AC025171.1,up_regulated,2.91459,1.40E-45
HS13617,Homo sapiens,ENSG00000180957,PITPNB,up_regulated,0.495708,0.0012439
HS4879,Homo sapiens,ENSG00000117280,RAB29,up_regulated,0.481088,0.00391092
HS13437,Homo sapiens,ENSG00000143815,LBR,up_regulated,0.386832,0.0370709
HS5372,Homo sapiens,ENSG00000136986,DERL1,up_regulated,0.453427,0.0042003
HS12730,Homo sapiens,ENSG00000159023,EPB41,up_regulated,0.463216,0.037021
HS7299,Homo sapiens,ENSG00000101986,ABCD1,up_regulated,0.809533,3.64E-05
HS8886,Homo sapiens,ENSG00000226380,AC058791.1,up_regulated,0.987149,1.60E-04
HS10752,Homo sapiens,ENSG00000198742,SMURF1,up_regulated,0.637535,5.94E-05
HS2230,Homo sapiens,ENSG00000163638,ADAMTS9,up_regulated,1.48778,1.10E-07
HS3949,Homo sapiens,ENSG00000267547,RP11-686D22.4,up_regulated,1.74357,5.64E-06
HS14417,Homo sapiens,ENSG00000241106,HLA-DOB,up_regulated,2.8503,6.53E-21
HS1707,Homo sapiens,ENSG00000167601,AXL,up_regulated,0.652223,8.78E-07
HS2478,Homo sapiens,ENSG00000108984,MAP2K6,up_regulated,1.34055,0.0044778
HS2364,Homo sapiens,ENSG00000185338,SOCS1,up_regulated,3.78497,0
HS12823,Homo sapiens,ENSG00000197323,TRIM33,up_regulated,0.568172,8.74E-04
HS8608,Homo sapiens,ENSG00000185591,SP1,up_regulated,0.378973,0.0210328
HS11957,Homo sapiens,ENSG00000111252,SH2B3,up_regulated,0.489272,0.00154524
HS11102,Homo sapiens,ENSG00000116667,C1orf21,up_regulated,0.386656,0.0354146
HS1469,Homo sapiens,ENSG00000124201,ZNFX1,up_regulated,3.01712,0
HS7030,Homo sapiens,ENSG00000160233,LRRC3,up_regulated,1.22657,1.01E-06
HS4740,Homo sapiens,ENSG00000153790,C7orf31,up_regulated,0.949174,2.54E-04
HS10314,Homo sapiens,ENSG00000153976,HS3ST3A1,up_regulated,0.825806,1.69E-05
HS2648,Homo sapiens,ENSG00000198814,GK,up_regulated,0.735539,3.37E-05
HS4968,Homo sapiens,ENSG00000163634,THOC7,up_regulated,0.384289,0.033574
HS8271,Homo sapiens,ENSG00000170522,ELOVL6,up_regulated,1.92866,1.45E-30
HS3475,Homo sapiens,ENSG00000112941,PAPD7,up_regulated,1.0376,2.75E-10
HS10958,Homo sapiens,ENSG00000168404,MLKL,up_regulated,3.7783,0
HS804,Homo sapiens,ENSG00000172292,CERS6,up_regulated,0.43475,0.0312546
HS2124,Homo sapiens,ENSG00000175048,ZDHHC14,up_regulated,0.943823,1.73E-08
HS6289,Homo sapiens,ENSG00000112773,FAM46A,up_regulated,2.17678,3.47E-42
HS3340,Homo sapiens,ENSG00000205302,SNX2,up_regulated,0.532735,7.20E-04
HS14630,Homo sapiens,ENSG00000227890,PSMA2P3,up_regulated,1.08096,2.66E-06
HS7855,Homo sapiens,ENSG00000236229,VEZF1P1,up_regulated,1.02128,4.48E-04
HS10075,Homo sapiens,ENSG00000141068,KSR1,up_regulated,0.835742,1.25E-05
HS5163,Homo sapiens,ENSG00000094631,HDAC6,up_regulated,0.445956,0.0122375
HS2150,Homo sapiens,ENSG00000151414,NEK7,up_regulated,0.384982,0.0481148
HS13117,Homo sapiens,ENSG00000255399,TBX5-AS1,up_regulated,0.816745,1.91E-05
HS4874,Homo sapiens,ENSG00000205220,PSMB10,up_regulated,2.24859,2.28E-40
HS14536,Homo sapiens,ENSG00000091137,SLC26A4,up_regulated,3.65907,1.34E-38
HS6113,Homo sapiens,ENSG00000135535,CD164,up_regulated,0.444209,0.00591181
HS14448,Homo sapiens,ENSG00000139990,DCAF5,up_regulated,0.737383,7.67E-08
HS3152,Homo sapiens,ENSG00000139921,TMX1,up_regulated,1.4684,3.26E-24
HS2854,Homo sapiens,ENSG00000122042,UBL3,up_regulated,0.536067,0.00459214
